                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4135,                 2.1206,                 1.2457,                0.80611,                0.46629,                0.72673,                 0.4769,                 1.1497,                 1.8418,                 1.0996,             0.00033025,             0.00033025,             0.00033025
                      2,                  1.139,                 1.1071,                 1.1095,                0.75258,                0.80783,                0.82568,                0.55229,                 1.0977,                0.94625,                  1.096,             0.00065701,             0.00065701,             0.00065701
                      3,                 1.1113,                 1.0176,                 1.0987,                0.71642,                0.82701,                0.81904,                0.56898,                 1.0004,                0.89349,                  1.041,             0.00097717,             0.00097717,             0.00097717
                      4,                 1.0602,                0.94198,                 1.0797,                0.77785,                0.80826,                0.84816,                0.59362,                 1.0087,                0.83058,                 1.0466,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0427,                0.87988,                 1.0738,                 0.7933,                 0.8456,                0.86908,                 0.6119,                0.99899,                0.78615,                 1.0439,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0298,                0.83432,                 1.0718,                0.77558,                0.85881,                0.87084,                0.62346,                0.95952,                0.70663,                  1.029,              0.0009505,              0.0009505,              0.0009505
                      7,                  1.015,                0.82276,                 1.0671,                0.81408,                0.85205,                0.88013,                0.63278,                0.95083,                0.71648,                 1.0289,              0.0009406,              0.0009406,              0.0009406
                      8,                0.99644,                0.77212,                 1.0578,                0.80172,                0.85037,                0.87992,                0.62761,                0.95921,                0.68461,                  1.034,              0.0009307,              0.0009307,              0.0009307
                      9,                0.98957,                0.77033,                 1.0554,                 0.8177,                0.87589,                0.89174,                0.64507,                 0.9349,                 0.6622,                 1.0178,              0.0009208,              0.0009208,              0.0009208
                     10,                0.97586,                0.74437,                 1.0485,                0.81422,                0.86816,                0.88311,                 0.6407,                0.92742,                0.65299,                 1.0191,              0.0009109,              0.0009109,              0.0009109
                     11,                0.96168,                0.72581,                 1.0484,                0.81856,                0.86492,                 0.8888,                0.64696,                0.93013,                0.64467,                  1.019,               0.000901,               0.000901,               0.000901
                     12,                0.97434,                0.72768,                 1.0517,                 0.8245,                0.87345,                 0.8979,                0.65331,                0.91598,                0.64296,                 1.0181,              0.0008911,              0.0008911,              0.0008911
                     13,                0.95526,                0.70858,                 1.0409,                0.82744,                 0.8726,                0.90351,                0.65435,                0.92402,                0.64513,                 1.0175,              0.0008812,              0.0008812,              0.0008812
